MSACS Day 1,2017,8,21
MSACS Day 2,2017,8,22
University/College Meetings,2017,8,23
Department Planning/Development,2017,8,24
Department Planning/Development,2017,8,25
General Registration,2017,8,26
Classes begin,2017,8,28
Labor Day -- no classes,2017,9,4
Walk-Out Day,2017,10,20
Thanksgiving Break 5PM,2017,11,21
Classes resume,2017,11,27
Finals begin,2017,12,11
Finals end,2017,12,15
Commencement,2017,12,15
Grades due at 10 a.m.,2017,12,18
MSACS Day 1,2018,1,1
MSACS Day 2,2018,1,2
University College Meetings,2018,1,3
General Registration,2018,1,3
Department Planning/Development,2018,1,4
Department Planning/Development,2018,1,5
General Registration,2018,1,5
Classes begin,2018,1,8
Martin Luther King Day -- no classes,2018,1,15
First block ends (34 days),2018,2,23
Second block begins (35 days),2018,2,26
Spring Break begins 5PM,2018,3,16
Classes resume,2018,3,26
Finals begin,2018,4,23
Finals end,2018,4,27
Commencement,2018,4,28
Grades due 10AM,2018,4,30
First session begins and Registration,2018,5,7
Memorial Day -- no classes,2018,5,28
First session ends,2018,6,4
Second session begins and Registration,2018,6,6
Second session ends,2018,7,3
July 4 Holiday -- no classes,2018,7,4
